Year,Zone,Vaccine,# Immunized,# Eligible,% Coverage,95% CI
2017-18,WESTERN,HBV,"1,310","1,583",0.8275426405559065,80.9-84.6
2017-18,NORTHERN,HBV,"1,203","1,409",0.8537970191625266,83.5-87.2
2017-18,EASTERN,HBV,"1,058","1,290",0.8201550387596899,79.9-84.1
2017-18,CENTRAL,HBV,"3,135","3,594",0.8722871452420701,86.1-88.3
2017-18,NOVA SCOTIA,HBV,"6,722","7,955",0.8450031426775613,83.7-85.3
2017-18,WESTERN,HPV,"1,305","1,583",0.8243840808591283,80.6-84.3
2017-18,NORTHERN,HPV,"1,189","1,409",0.843860894251242,82.5-86.3
2017-18,EASTERN,HPV,"1,074","1,290",0.8325581395348837,81.2-85.3
2017-18,CENTRAL,HPV,"3,175","3,594",0.8834168057874234,87.3-89.4
2017-18,NOVA SCOTIA,HPV,"6,757","7,955",0.8494028912633563,84.1-85.7
2017-18,WESTERN,MEN-C-ACYW-135,"1,457","1,583",0.9204042956411876,90.7-93.4
2017-18,NORTHERN,MEN-C-ACYW-135,"1,300","1,409",0.9226401703335699,90.9-93.7
2017-18,EASTERN,MEN-C-ACYW-135,"1,154","1,290",0.8945736434108527,87.8-91.3
2017-18,CENTRAL,MEN-C-ACYW-135,"3,455","3,594",0.9613244296048971,95.5-96.7
2017-18,NOVA SCOTIA,MEN-C-ACYW-135,"7,385","7,955",0.9283469516027656,92.3-93.4
2017-18,WESTERN,TDAP,"1,414","1,583",0.8932406822488945,87.8-90.8
2017-18,NORTHERN,TDAP,"1,288","1,409",0.9141234918381831,89.9-92.9
2017-18,EASTERN,TDAP,"1,144","1,290",0.8868217054263566,86.9-90.4
2017-18,CENTRAL,TDAP,"3,371","3,594",0.937952142459655,93.0-94.6
2017-18,NOVA SCOTIA,TDAP,"7,238","7,955",0.9098680075424261,90.4-91.6
2018-19,WESTERN,HBV,"1,638","1,949",0.840430990251411,82.4-85.7
2018-19,NORTHERN,HBV,"1,279","1,496",0.8549465240641712,83.7-87.3
2018-19,EASTERN,HBV,"1,269","1,504",0.84375,82.5-86.2
2018-19,CENTRAL,HBV,"3,415","4,000",0.85375,84.3-86.4
2018-19,NOVA SCOTIA,HBV,"7,628","9,052",0.8426866990720283,83.5-85.0
2018-19,WESTERN,HPV,"1,614","1,949",0.8281169830682401,81.1-84.5
2018-19,NORTHERN,HPV,"1,285","1,496",0.858957219251337,84.1-87.7
2018-19,EASTERN,HPV,"1,273","1,504",0.8464095744680851,82.8-86.5
2018-19,CENTRAL,HPV,"3,492","4,000",0.873,86.3-88.3
2018-19,NOVA SCOTIA,HPV,"7,689","9,052",0.849425541316836,84.2-85.7
2018-19,WESTERN,MEN-C-ACYW-135,"1,784","1,949",0.9153412006157003,90.3-92.8
2018-19,NORTHERN,MEN-C-ACYW-135,"1,386","1,496",0.9264705882352942,91.3-94.0
2018-19,EASTERN,MEN-C-ACYW-135,"1,353","1,504",0.8996010638297872,88.4-91.5
2018-19,CENTRAL,MEN-C-ACYW-135,"3,756","4,000",0.939,93.2-94.6
2018-19,NOVA SCOTIA,MEN-C-ACYW-135,"8,314","9,052",0.9184710561201944,91.3-92.4
2018-19,WESTERN,TDAP,"1,727","1,949",0.8860954335556696,87.2-90.0
2018-19,NORTHERN,TDAP,"1,359","1,496",0.9084224598930482,89.4-92.3
2018-19,EASTERN,TDAP,"1,334","1,504",0.886968085106383,87.1-90.3
2018-19,CENTRAL,TDAP,"3,641","4,000",0.91025,90.1-91.9
2018-19,NOVA SCOTIA,TDAP,"8,095","9,052",0.8942775077330977,88.8-90.1
2016-17,WESTERN,TDAP,"1,617","1,778",0.909,89.5-92.2
2016-17,WESTERN,MEN-C-ACYW-135,"1,684","1,778",0.947,93.6-95.7
2016-17,WESTERN,HBV - Dose 1,"1,571","1,778",0.884,86.8-89.8
2016-17,WESTERN,HBV - Dose 2,"1,333","1,778",0.75,72.9-76.9
2016-17,WESTERN,HPV - Dose 1,"1,559","1,778",0.877,86.1-89.1
2016-17,WESTERN,HPV - Dose 2,"1,385","1,778",0.779,75.9-79.8
2016-17,NORTHERN,TDAP,"1,389","1,424",0.975,96.6-98.2
2016-17,NORTHERN,MEN-C-ACYW-135,"1,424","1,424",1,99.7-100.0
2016-17,NORTHERN,HBV - Dose 1,"1,367","1,424",0.96,94.8-96.9
2016-17,NORTHERN,HBV - Dose 2,"1,206","1,424",0.847,82.7-86.5
2016-17,NORTHERN,HPV - Dose 1,"1,357","1,424",0.953,94.1-96.3
2016-17,NORTHERN,HPV - Dose 2,"1,227","1,424",0.862,84.3-87.9
2016-17,EASTERN,TDAP,"1,366","1,611",0.848,83.0-86.5
2016-17,EASTERN,MEN-C-ACYW-135,"1,433","1,611",0.89,87.3-90.4
2016-17,EASTERN,HBV - Dose 1,"1,362","1,611",0.845,82.7-86.2
2016-17,EASTERN,HBV - Dose 2,"1,205","1,611",0.748,72.6-76.9
2016-17,EASTERN,HPV - Dose 1,"1,371","1,611",0.851,83.3-86.8
2016-17,EASTERN,HPV - Dose 2,"1,243","1,611",0.772,75.0-79.1
2016-17,CENTRAL,TDAP,"4,071","4,284",0.95,94.3-95.6
2016-17,CENTRAL,MEN-C-ACYW-135,"3,991","4,284",0.932,92.4-93.9
2016-17,CENTRAL,HBV - Dose 1,"3,656","4,284",0.853,84.2-86.4
2016-17,CENTRAL,HBV - Dose 2,"2,959","4,284",0.691,67.7-70.4
2016-17,CENTRAL,HPV - Dose 1,"3,865","4,284",0.902,89.3-91.1
2016-17,CENTRAL,HPV - Dose 2,"3,329","4,284",0.777,76.4-78.9
2016-17,NOVA SCOTIA,TDAP,"8,443","9,097",0.928,92.3-93.3
2016-17,NOVA SCOTIA,MEN-C-ACYW-135,"8,541","9,097",0.939,93.4-94.4
2016-17,NOVA SCOTIA,HBV - Dose 1,"7,956","9,097",0.875,86.8-88.1
2016-17,NOVA SCOTIA,HBV - Dose 2,"6,703","9,097",0.737,72.8-74.6
2016-17,NOVA SCOTIA,HPV - Dose 1,"8,152","9,097",0.896,89.0-90.2
